username,bin_number
angieric51333,1
annakin97567,1
bjmaz,1
christinec56706,1
coltsie,1
dawnlowe0926,1
debbiepaq,1
heathermar1989,1
jordynnlep,1
lakydajon,1
levellen,1
michaelwhi13289,1
michelledur1970,1
millies_closet,1
modernvarietypopupstore,1
ortizedi,1
panther1334,1
peggyscloset828,1
sandrasid,1
shelbystreasures626,1
tabithalep,1
tanyalee40315,1
travelgirl6214,1
trishboden826,1
tyronetate,1
unclaimedfinds,1
victoriaalm,1
